culture_ar,culture_id,flooding_d,gie_id,gie_locati,lat_grp,lat_plot,lon_grp,lon_plot,parcel_cod,parcel_loc,phenologic,producer_i,production,state_name,2024-01-17,2024-01-22,2024-01-27,2024-02-01,2024-02-06,2024-02-11,2024-02-16,2024-02-21,2024-02-26,2024-03-02,2024-03-07,2024-03-12,2024-03-17,2024-03-22,2024-03-27,2024-04-01,2024-04-06,2024-04-11,2024-04-16,2024-04-21,2024-04-26,2024-05-01,2024-05-06,2024-05-11,2024-05-16,2024-05-21,2024-05-26,2024-05-31,2024-06-05,2024-06-10,2024-06-15,2024-06-20,2024-06-25,2024-06-30,2024-07-05,2024-07-10,2024-07-15,2024-07-20,2024-07-25,2024-07-30,flooding_date_rs
24.1854,2313,,,,,16.520530833333,,-16.126528333333,SN0292700014,,Maturation : Stade Dur,3237772d-37af-483f-97f9-8341fca4404e,1.9996657527745,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
11.7312,2279,,,,,16.525459166667,,-16.119835,SN0292700005,,Maturation : Stade Dur,a32d6fbe-5b4c-4c66-a3ce-9bb7d120c901,1.3823927052017,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
15.2427,2314,,,,,16.528709166667,,-16.132021666667,SN0292700015,,Maturation : Stade Dur,3237772d-37af-483f-97f9-8341fca4404e,1.6067894146986,Closure,0.0,0.0,0.0,0.0,11.19,11.19,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,2024-02-16
4.6121,2290,,,,,16.529000833333,,-16.12762,SN0292700009,,Maturation : Stade Dur,9d80a20b-5a0d-44d8-8128-efaf99242a21,0.98331219737055,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
3.5682,2277,,,,,16.5270875,,-16.118481666667,SN0292700003,,Maturation : Stade Dur,72389f9c-8420-4c90-bbb6-aaf17b06bbcf,0.88129508492381,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
3.838,2278,,,,,16.527861666667,,-16.1178175,SN0292700004,,Maturation : Stade Dur,a32d6fbe-5b4c-4c66-a3ce-9bb7d120c901,0.979176364776649,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
7.4274,2275,,,,,16.529909166667,,-16.117224166667,SN0292700001,,Maturation : Stade Dur,83ba8da2-c9c5-4c21-bc0b-386d94c8d370,1.2336254708281,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
0.3773,2292,,,,,16.530150833333,,-16.126993333333,SN0292700011,,Maturation : Stade Dur,9d80a20b-5a0d-44d8-8128-efaf99242a21,0.2528890597004,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
0.2908,2291,,,,,16.530136666667,,-16.128621666667,SN0292700010,,Maturation : Stade Dur,9d80a20b-5a0d-44d8-8128-efaf99242a21,0.21789020688439,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
30.8661,2276,,,,,16.5338075,,-16.119098333333,SN0292700002,,Maturation : Stade Dur,83ba8da2-c9c5-4c21-bc0b-386d94c8d370,3.7126856649601,Closure,0.0,0.0,0.0,0.0,0.0,0.0,10.91,10.91,22.64,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,23.38,2024-03-02
30.5009,2306,,,,,16.450358333333,,-15.9786775,SN0293300017,,Maturation : Stade Dur,dc500b06-7362-4d7e-b59e-aef087b7a54c,2.6582138632904,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.15,10.15,11.37,11.37,11.55,11.56,11.56,11.56,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,2024-04-21
14.8139,2310,,,,,16.460865,,-16.0335775,SN0293600014,,Maturation : Stade Dur,4bb1eea4-cfa1-4f9c-ad9b-3952b8a2109c,1.6310900234415,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.03,4.03,4.03,4.03,4.61,4.61,4.61,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,4.68,2024-04-06
33.9761,2305,,,,,16.455555,,-15.992034166667,SN0293300016,,Maturation : Stade Dur,2be04b40-f86d-42f6-a44c-90f2617fa485,2.3230208618788,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09,10.17,10.17,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,11.03,11.03,11.03,11.04,11.07,11.07,11.1,11.12,11.12,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,2024-06-05
29.1202,2304,,,,,16.458305,,-15.979048333333,SN0293300015,,Maturation : Stade Dur,a09a0a13-d740-4a1e-92ef-8427599c0dc0,2.464512704917,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.59,20.71,20.71,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.86,2024-03-12
8.7514,2302,,,,,16.4674575,,-16.025515833333,SN0293600012,,Maturation : Stade Dur,270144b5-95c2-4a08-b4ba-14010172b776,1.858374887617,Closure,0.0,0.0,0.0,0.0,2.88,2.88,7.24,7.24,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,2024-02-26
1.5811,2297,,,,,16.467021666667,,-16.038393333333,SN0293600007,,Maturation : Stade Dur,a276dbef-b575-4538-865f-406ef9324c2b,0.6221066261065,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,2024-04-06
1.0836,2311,,,,,16.467106666667,,-16.036803333333,SN0293600015,,Maturation : Stade Dur,bc6b7c50-ff5f-4ce6-b4f9-aa587a637ad9,0.44597648444153,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
