,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2020-01-18,2020-01-23,2020-01-28,2020-02-02,2020-02-07,2020-02-12,2020-02-17,2020-02-22,2020-02-27,2020-03-03,2020-03-08,2020-03-13,2020-03-18,2020-03-23,2020-03-28,2020-04-02,2020-04-07,2020-04-12,2020-04-17,2020-04-22,2020-04-27,2020-05-02,2020-05-07,2020-05-12,2020-05-17,2020-05-22,2020-05-27,2020-06-01,flooding_date
19,5514286,16.25,16.375,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-16.5 16.083333333333428, -16.5 16.166666666666686, -16.416666666666686 16.166666666666686, -16.416666666666686 16.083333333333428, -16.5 16.083333333333428)))",3556.02,36.33,36.33,45.95,111.2,125.65,125.65,131.56,341.6,341.6,755.87,832.13,832.13,919.22,919.22,958.39,991.84,991.84,991.84,991.84,994.58,995.63,995.63,995.63,995.63,995.63,995.78,995.79,995.79,2027-05-20
20,5514285,16.25,16.375,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-15.416666666666686 16.5, -15.416666666666686 16.583333333333314, -15.333333333333258 16.583333333333314, -15.333333333333258 16.5, -15.416666666666686 16.5)))",2194.49,10.42,10.42,10.48,28.95,33.69,33.69,34.37,93.09,93.09,122.34,126.02,126.02,174.53,174.53,192.94,205.33,205.33,205.33,205.33,209.6,211.29,211.29,211.29,211.38,211.38,211.39,211.4,211.4,2022-02-20
21,5497006,16.25,16.04166667,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-16.08333333333337 16.41666666666663, -16.08333333333337 16.5, -16 16.5, -16 16.41666666666663, -16.08333333333337 16.41666666666663)))",7465.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-01-20
22,5497005,16.25,16.04166667,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-15.5 16.5, -15.5 16.583333333333314, -15.416666666666686 16.583333333333314, -15.416666666666686 16.5, -15.5 16.5)))",5720.01,0.16,0.16,8,8,8,8.01,8.01,20.51,20.51,24.78,25.22,25.22,25.22,25.22,29.5,34.43,34.43,34.43,34.43,34.43,34.43,34.43,34.55,34.55,34.56,34.57,34.57,34.57,2012-02-20
23,5509964,16.25,16.29166667,-16.25,-16.375,152968,"MULTIPOLYGON (((-16.16666666666663 16.41666666666663, -16.16666666666663 16.5, -16.08333333333337 16.5, -16.08333333333337 16.41666666666663, -16.16666666666663 16.41666666666663)))",8611.84,14.96,14.96,16,16.13,16.16,16.16,16.21,16.55,16.55,16.6,20.95,20.95,45.66,45.66,48.18,49.41,49.41,49.41,49.41,49.54,49.64,49.64,49.88,49.88,49.88,49.92,49.92,49.92,2022-05-20
24,5509968,16.25,16.29166667,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.25 16.41666666666663, -16.25 16.5, -16.16666666666663 16.5, -16.16666666666663 16.41666666666663, -16.25 16.41666666666663)))",8602.56,0,0,0,0,2.96,2.96,4.3,43.61,43.61,76.85,94.39,94.39,134.08,134.08,173.77,302.39,302.39,303.82,303.82,325.91,347.25,347.25,347.33,348.4,348.4,350.85,351.07,351.07,2008-03-20
25,5509967,16.25,16.29166667,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.16666666666663 16.083333333333428, -16.16666666666663 16.166666666666686, -16.08333333333337 16.166666666666686, -16.08333333333337 16.083333333333428, -16.16666666666663 16.083333333333428)))",2231.16,13.04,13.04,28.39,54.95,69.15,69.15,70.22,77.35,77.35,206.96,270.34,270.34,540.03,540.03,669.57,949.13,949.13,956.98,956.98,1006.26,1023.8,1023.8,1023.82,1024.65,1024.65,1025.4,1025.68,1025.68,2012-04-20
26,5509966,16.25,16.29166667,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.666666666666629 16.41666666666663, -15.666666666666629 16.5, -15.583333333333371 16.5, -15.583333333333371 16.41666666666663, -15.666666666666629 16.41666666666663)))",2349.42,43.75,43.75,61.01,66.52,78.55,78.55,96.61,185.76,185.76,484.74,647.71,647.71,912.31,912.31,1248.1,1446.2,1446.2,1465.27,1465.27,1503.15,1536.9,1536.9,1541.82,1544.42,1544.54,1553.5,1553.92,1553.92,2017-02-20
27,5509965,16.25,16.29166667,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.25 16.083333333333428, -16.25 16.166666666666686, -16.16666666666663 16.166666666666686, -16.16666666666663 16.083333333333428, -16.25 16.083333333333428)))",6238.32,18.79,18.79,62.27,121.65,256.89,256.89,384.34,754.82,754.82,1156.22,1296.03,1296.03,1489.54,1489.54,1596.18,1747.89,1747.89,1747.89,1747.89,1778.28,1802.53,1802.53,1803.24,1803.33,1803.33,1804.23,1804.24,1804.24,2022-02-20
28,5509970,16.25,16.29166667,-15.75,-15.875,152969,"MULTIPOLYGON (((-15.75 16.41666666666663, -15.75 16.5, -15.666666666666629 16.5, -15.666666666666629 16.41666666666663, -15.75 16.41666666666663)))",2464.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.54,2027-05-20
