,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2021-01-17,2021-01-22,2021-01-27,2021-02-01,2021-02-06,2021-02-11,2021-02-16,2021-02-21,2021-02-26,2021-03-03,2021-03-08,2021-03-13,2021-03-18,2021-03-23,2021-03-28,2021-04-02,2021-04-07,2021-04-12,2021-04-17,2021-04-22,2021-04-27,2021-05-02,2021-05-07,2021-05-12,2021-05-17,2021-05-22,2021-05-27,2021-06-01,2021-06-06,2021-06-11,2021-06-16,2021-06-21,2021-06-26,2021-07-01,2021-07-06,2021-07-11,2021-07-16,2021-07-21,2021-07-26,flooding_date
0,5505644,16.25,16.20833333,-16.25,-16.375,152968,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",1114.78,0,0,29.85,29.85,29.85,53.54,53.54,79.94,115.24,164.79,164.79,195.88,316.3,342.34,355.81,361.82,361.82,388.37,401.42,401.42,431.89,438.89,438.89,438.89,438.89,442.45,442.45,443.16,443.16,443.16,443.16,443.16,443.16,443.16,443.16,443.16,443.22,443.22,443.31,2021-02-21
1,5505643,16.25,16.20833333,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",6401.76,0,0,1.56,1.56,1.56,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.1,3.1,3.1,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.57,8.57,9.61,2021-07-26
2,5505648,16.25,16.20833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",6775.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-17
3,5505647,16.25,16.20833333,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",1883.63,0,0,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2021-01-27
4,5505646,16.25,16.20833333,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",223.7,0,0,77.18,77.18,77.18,82.74,82.74,92.54,101.1,140.48,140.48,155.78,221.91,221.91,221.91,227.46,227.46,239.33,245.04,245.04,252.93,253.47,253.47,253.47,253.47,253.64,253.64,253.64,253.64,253.64,253.64,253.64,253.64,253.64,253.64,253.64,253.66,253.66,253.76,2021-02-21
5,5505645,16.25,16.20833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",6196.9,0,0,49.74,49.74,49.74,54.14,54.14,61.98,91.87,196.02,196.02,263.58,425.08,425.38,429.19,478.63,478.63,558.88,593.24,593.24,649.05,659.44,659.44,659.44,659.44,661.35,661.35,662.09,662.09,662.09,662.09,662.09,662.09,662.09,662.09,662.09,662.1,662.1,662.12,2021-02-26
6,5518605,16.25,16.45833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",8602.56,0,0,9.96,9.96,9.96,9.96,9.96,371.16,416.05,453.6,453.6,469.66,469.66,490.1,490.1,490.67,490.67,496.34,503.59,503.59,511.81,511.81,512.3,512.3,512.3,512.3,517.41,517.41,517.41,517.41,517.41,517.41,517.41,517.42,517.42,517.42,517.65,517.65,517.71,2021-01-27
7,5501324,16.25,16.125,-16.25,-16.375,152968,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",8593.29,0,0,144.07,144.07,144.07,219.26,219.26,265.82,280.22,306.63,306.63,311.63,368.26,368.26,400.16,400.17,400.17,443.21,465.55,465.55,515.56,519.32,519.32,519.32,519.32,520.17,520.17,520.22,520.22,520.22,520.78,520.78,520.78,520.78,520.78,520.78,527.51,527.51,531.77,2021-07-26
8,5501323,16.25,16.125,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",8602.56,0,0,56.53,56.53,56.53,57.97,57.97,67.14,69.68,79.15,79.15,81.88,110.01,110.01,122.66,122.78,122.78,148.38,154.75,154.75,199.2,200.73,200.73,200.73,200.73,200.73,200.73,201.78,201.78,201.78,210.32,210.32,210.32,210.32,210.32,210.32,229.24,229.24,233.66,2021-03-13
9,5518608,16.25,16.45833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1952.78,0,0,55.88,55.88,55.88,55.88,55.88,226.72,304.12,623.69,623.69,1628,1628,2273.15,2273.15,2446.24,2446.24,2484.43,2521.21,2521.21,2532.05,2532.05,2532.05,2532.05,2532.05,2532.05,2535.18,2535.18,2535.18,2535.18,2535.18,2535.18,2535.18,2535.2,2535.2,2535.2,2535.28,2535.28,2535.33,2021-03-03
