,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2024-01-17,2024-01-22,2024-01-27,2024-02-01,2024-02-06,2024-02-11,2024-02-16,2024-02-21,2024-02-26,2024-03-02,2024-03-07,2024-03-12,2024-03-17,2024-03-22,2024-03-27,2024-04-01,2024-04-06,2024-04-11,2024-04-16,2024-04-21,2024-04-26,2024-05-01,2024-05-06,2024-05-11,2024-05-16,2024-05-21,2024-05-26,2024-05-31,2024-06-05,2024-06-10,2024-06-15,2024-06-20,2024-06-25,2024-06-30,2024-07-05,2024-07-10,2024-07-15,2024-07-20,2024-07-25,2024-07-30,flooding_date
28,5509970,16.25,16.29166667,-15.75,-15.875,152969,"MULTIPOLYGON (((-15.75 16.41666666666663, -15.75 16.5, -15.666666666666629 16.5, -15.666666666666629 16.41666666666663, -15.75 16.41666666666663)))",2464.97,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.43,0.45,0.45,0.45,20-07-24
29,5509969,16.25,16.29166667,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-16.333333333333314 16.083333333333428, -16.333333333333314 16.166666666666686, -16.25 16.166666666666686, -16.25 16.083333333333428, -16.333333333333314 16.083333333333428)))",8611.84,0.13,0.13,0.13,0.13,0.13,0.13,0.64,0.64,0.64,0.64,0.64,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,16.13,16.13,16.13,16.13,15-07-24
30,5518609,16.25,16.45833333,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-15.833333333333314 16.41666666666663, -15.833333333333314 16.5, -15.75 16.5, -15.75 16.41666666666663, -15.833333333333314 16.41666666666663)))",2687.35,68.6,68.6,148.38,148.38,315.96,315.96,629.14,629.14,1032.48,1139.19,1139.19,1508.07,1738.31,1757.91,1757.91,1781.54,1781.54,1802.85,1803.44,1819.75,1819.75,1819.79,1819.91,1820.36,1823.55,1825.05,1828.27,1828.27,1831.29,1831.29,1831.29,1831.29,1831.55,1831.55,1831.55,1831.55,1832.44,1832.58,1832.58,1832.58,17-01-24
31,5518613,16.25,16.45833333,-15.75,-15.625,152969,"MULTIPOLYGON (((-15.916666666666686 16.41666666666663, -15.916666666666686 16.5, -15.833333333333314 16.5, -15.833333333333314 16.41666666666663, -15.916666666666686 16.41666666666663)))",7730.15,10.8,10.8,10.95,10.95,10.97,10.97,11.73,11.73,12.92,12.92,12.92,13.81,14.79,14.79,14.79,14.79,15.48,15.48,16.19,16.19,16.19,16.23,16.23,16.76,16.76,22.31,22.61,22.61,22.99,22.99,22.99,23,23,23,23,23,23.34,23.34,23.34,23.34,15-07-24
32,5518612,16.25,16.45833333,-15.75,-15.70833333,152969,"MULTIPOLYGON (((-15.583333333333371 16.41666666666663, -15.583333333333371 16.5, -15.5 16.5, -15.5 16.41666666666663, -15.583333333333371 16.41666666666663)))",784.25,37.68,37.68,48.71,48.71,64.59,64.59,177.86,177.86,228.1,234.89,234.89,259.63,263.27,263.46,263.46,263.56,268.01,268.01,268.01,270.09,270.09,270.13,270.13,270.28,270.28,271.24,271.27,271.27,271.31,271.32,271.32,271.33,271.33,271.4,271.4,271.4,271.58,271.68,271.68,271.68,06-02-24
33,5518611,16.25,16.45833333,-15.75,-15.79166667,152969,"MULTIPOLYGON (((-16.416666666666686 16, -16.416666666666686 16.083333333333428, -16.333333333333314 16.083333333333428, -16.333333333333314 16, -16.416666666666686 16)))",8566.46,18.08,18.08,20.02,20.02,72.09,72.09,357.92,357.92,605.43,679.09,679.09,821.51,873.04,873.84,873.84,873.94,882.58,882.58,882.7,885.13,885.13,886.01,886.01,887.57,887.57,892.59,893.73,893.73,895.24,895.24,895.24,895.25,895.25,895.33,895.33,895.33,895.39,895.39,895.39,895.39,15-07-24
34,5518610,16.25,16.45833333,-15.75,-15.875,152969,"MULTIPOLYGON (((-16.08333333333337 16.33333333333337, -16.08333333333337 16.41666666666663, -16 16.41666666666663, -16 16.33333333333337, -16.08333333333337 16.33333333333337)))",8602.56,18.58,18.58,38.79,38.79,173.52,173.52,395.09,395.09,604.75,704.27,704.27,1188.88,1609.63,1663.14,1663.14,1751.88,1752.97,1930.19,1940.95,1968.46,1968.46,1969.1,1969.1,1970.99,1970.99,1988.16,1988.6,1988.6,1997.84,1998.18,1998.18,1998.26,1998.26,1998.26,1998.26,1998.26,1998.71,1998.75,1998.75,1998.75,02-03-24
35,5518614,16.25,16.45833333,-15.75,-15.54166667,152969,"MULTIPOLYGON (((-16.5 16, -16.5 16.083333333333428, -16.416666666666686 16.083333333333428, -16.416666666666686 16, -16.5 16)))",7575.04,1.02,1.02,1.02,1.02,1.02,1.02,2.01,2.01,2.01,2.01,2.01,3.45,3.45,3.45,3.69,3.87,6.79,6.79,6.91,6.93,6.93,7.25,7.25,7.3,7.3,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,21-05-24
36,5514292,16.25,16.375,-15.75,-15.70833333,152969,"MULTIPOLYGON (((-16.16666666666663 16.33333333333337, -16.16666666666663 16.41666666666663, -16.08333333333337 16.41666666666663, -16.08333333333337 16.33333333333337, -16.16666666666663 16.33333333333337)))",8602.56,15.31,15.31,15.34,15.34,15.39,15.39,36.91,36.91,62.9,63.81,63.81,97.79,99.58,99.58,99.58,99.6,99.93,99.93,99.93,101.06,101.06,101.74,101.74,101.78,101.78,102.03,102.04,102.04,102.07,102.07,102.07,102.07,102.07,102.11,102.11,102.11,102.37,102.38,102.38,102.38,06-04-24
37,5514291,16.25,16.375,-15.75,-15.79166667,152969,"MULTIPOLYGON (((-16.25 16.33333333333337, -16.25 16.41666666666663, -16.16666666666663 16.41666666666663, -16.16666666666663 16.33333333333337, -16.25 16.33333333333337)))",8593.29,13.91,13.91,18.29,18.29,22.96,22.96,142.41,142.41,161.05,166.14,166.14,194.71,196.19,196.19,196.19,196.21,196.62,196.62,196.62,196.66,196.66,196.69,196.69,197.22,197.22,197.5,197.52,197.52,197.77,197.78,197.78,197.78,197.78,197.8,197.8,197.8,199.18,199.19,199.19,199.19,06-02-24
38,5514290,16.25,16.375,-15.75,-15.875,152969,"MULTIPOLYGON (((-16.333333333333314 16.33333333333337, -16.333333333333314 16.41666666666663, -16.25 16.41666666666663, -16.25 16.33333333333337, -16.333333333333314 16.33333333333337)))",8171.53,2.02,2.02,2.1,2.1,6.16,6.16,49.69,49.69,87.06,91.19,91.19,210.59,259.6,261.8,261.8,265.26,265.26,329.57,329.76,336.26,336.26,336.32,336.32,336.36,336.36,338.2,338.4,338.4,340.56,340.56,340.56,340.56,340.56,340.56,340.56,340.56,345.73,348.92,348.92,348.92,02-03-24
39,5514289,16.25,16.375,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-15.75 16.33333333333337, -15.75 16.41666666666663, -15.666666666666629 16.41666666666663, -15.666666666666629 16.33333333333337, -15.75 16.33333333333337)))",1758,14.28,14.28,39.67,39.67,100.7,100.7,299.72,299.72,754.16,840.15,840.15,1148.55,1316.81,1339.06,1339.06,1374.77,1374.77,1430.6,1430.72,1462.37,1462.37,1462.6,1462.72,1468.38,1474.3,1481.22,1481.54,1481.54,1495.74,1495.74,1495.74,1495.74,1495.74,1495.74,1495.74,1495.74,1499.75,1500.56,1500.56,1500.56,02-03-24
40,5492684,15.75,15.95833333,-16.25,-16.375,152248,"MULTIPOLYGON (((-16.25 16, -16.25 16.083333333333428, -16.16666666666663 16.083333333333428, -16.16666666666663 16, -16.25 16)))",150.92,18.92,18.92,18.92,18.92,18.98,19.27,19.27,19.27,19.27,19.27,19.27,19.27,19.27,19.29,19.29,19.29,19.29,19.29,19.29,19.29,19.33,19.33,19.38,19.48,19.48,19.68,19.68,22.38,22.38,27.65,27.75,32.98,32.98,32.98,32.98,32.98,48.84,53.75,53.75,53.75,20-07-24
41,5492683,15.75,15.95833333,-16.25,-16.45833333,152248,"MULTIPOLYGON (((-15.833333333333314 16.33333333333337, -15.833333333333314 16.41666666666663, -15.75 16.41666666666663, -15.75 16.33333333333337, -15.833333333333314 16.33333333333337)))",3360.76,73.09,73.09,73.09,73.09,73.88,77.18,77.18,77.18,77.56,77.56,77.56,77.92,77.92,78.01,78.01,78.01,78.01,78.46,78.46,78.46,79.18,79.18,79.29,79.61,79.61,80.28,80.29,81.3,81.3,86.37,86.81,104.73,104.73,104.73,104.73,104.73,156.96,348.84,348.84,348.84,15-06-24
42,5522926,16.75,16.54166667,-16.25,-16.20833333,153688,"MULTIPOLYGON (((-16.333333333333314 16, -16.333333333333314 16.083333333333428, -16.25 16.083333333333428, -16.25 16, -16.333333333333314 16)))",5625.43,22.88,22.88,24.04,24.04,24.58,24.58,28.26,28.26,388.43,511.13,511.13,568.27,582.29,585.75,585.75,586.56,586.56,586.58,586.74,586.9,586.9,586.9,587.14,587.32,590.49,590.49,591.18,591.18,593.47,593.47,593.47,593.47,593.5,593.5,593.5,593.5,595.36,595.41,595.41,595.41,20-07-24
43,5522925,16.75,16.54166667,-16.25,-16.29166667,153688,"MULTIPOLYGON (((-15.916666666666686 16.33333333333337, -15.916666666666686 16.41666666666663, -15.833333333333314 16.41666666666663, -15.833333333333314 16.33333333333337, -15.916666666666686 16.33333333333337)))",7818.43,7.74,7.74,8.12,8.12,8.3,8.3,10.78,10.78,50.36,92.09,92.09,116.82,120.11,120.11,120.11,120.36,120.36,120.42,120.48,120.7,120.7,120.7,120.7,120.79,121.37,121.37,121.37,121.37,121.85,121.85,121.85,121.85,121.86,121.86,121.86,121.86,122.33,122.33,122.33,122.33,02-03-24
44,5522927,16.75,16.54166667,-16.25,-16.125,153688,"MULTIPOLYGON (((-16 16.33333333333337, -16 16.41666666666663, -15.916666666666686 16.41666666666663, -15.916666666666686 16.33333333333337, -16 16.33333333333337)))",8593.29,29.56,29.56,66.86,66.86,135.88,135.88,216.31,216.31,285.25,308.27,308.27,365.63,385.92,386.6,386.6,393.78,393.78,401.39,402.97,405.63,405.63,405.63,406.3,409.54,421.75,421.75,423.6,423.6,430.71,430.71,430.71,430.71,430.94,430.94,430.94,430.94,430.94,431.01,431.01,431.01,27-01-24
45,5522930,16.75,16.54166667,-15.75,-15.875,153689,"MULTIPOLYGON (((-16.416666666666686 16.25, -16.416666666666686 16.33333333333337, -16.333333333333314 16.33333333333337, -16.333333333333314 16.25, -16.416666666666686 16.25)))",2939.01,16.93,16.93,18.85,18.85,22.24,22.24,36.33,36.33,39.88,39.94,39.94,57.11,70.94,72.56,72.56,75.09,75.09,82.13,82.14,82.58,82.58,82.63,82.63,82.63,82.63,83.38,83.43,83.43,83.45,83.45,83.45,83.45,83.45,83.45,83.45,83.45,83.45,83.45,83.45,83.45,05-06-24
46,5522934,16.75,16.54166667,-15.75,-15.54166667,153689,"MULTIPOLYGON (((-16.416666666666686 15.916666666666742, -16.416666666666686 16, -16.333333333333314 16, -16.333333333333314 15.916666666666742, -16.416666666666686 15.916666666666742)))",1657.07,22.25,22.25,22.62,22.62,22.63,22.63,23.36,23.36,25.06,25.06,25.56,33.56,36.71,36.71,39.3,40.06,43.38,43.38,43.43,45.49,45.49,46.4,46.4,46.59,46.62,46.7,46.72,46.72,46.74,46.74,46.74,46.74,46.74,46.75,46.75,46.75,47.36,47.54,47.54,47.89,30-07-24
47,5522933,16.75,16.54166667,-15.75,-15.625,153689,"MULTIPOLYGON (((-16.08333333333337 16.25, -16.08333333333337 16.33333333333337, -16 16.33333333333337, -16 16.25, -16.08333333333337 16.25)))",8611.84,9.6,9.6,9.87,9.87,10,10,12.11,12.11,12.21,12.21,12.21,15.93,21.61,21.61,21.61,21.61,22.22,22.22,22.31,22.31,22.31,22.96,22.96,23.01,23.01,23.19,23.21,23.21,23.41,23.41,23.41,23.41,23.41,23.41,23.41,23.41,23.63,23.63,23.63,23.63,27-01-24
48,5522931,16.75,16.54166667,-15.75,-15.79166667,153689,"MULTIPOLYGON (((-16.5 15.916666666666742, -16.5 16, -16.416666666666686 16, -16.416666666666686 15.916666666666742, -16.5 15.916666666666742)))",7811.43,4.82,4.82,4.83,4.83,4.96,4.96,5.34,5.34,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.92,5.97,5.97,5.97,20-07-24
49,5527255,16.75,16.625,-15.25,-15.45833333,153690,"MULTIPOLYGON (((-16.16666666666663 16.25, -16.16666666666663 16.33333333333337, -16.08333333333337 16.33333333333337, -16.08333333333337 16.25, -16.16666666666663 16.25)))",8611.84,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.62,30-07-24
50,5522936,16.75,16.54166667,-15.25,-15.375,153690,"MULTIPOLYGON (((-16.25 16.25, -16.25 16.33333333333337, -16.16666666666663 16.33333333333337, -16.16666666666663 16.25, -16.25 16.25)))",8602.56,11.44,11.44,11.48,11.48,11.48,11.48,11.68,11.68,11.97,11.97,12.05,12.4,12.4,12.4,12.41,13.13,17.24,17.41,17.41,37.25,37.25,51.14,51.14,52.38,52.73,52.73,52.95,52.95,52.95,52.95,52.95,52.95,52.95,58.33,58.33,58.33,75.77,76.84,76.84,85.12,30-07-24
51,5522935,16.75,16.54166667,-15.25,-15.45833333,153690,"MULTIPOLYGON (((-16.333333333333314 16.25, -16.333333333333314 16.33333333333337, -16.25 16.33333333333337, -16.25 16.25, -16.333333333333314 16.25)))",8611.84,17.23,17.23,17.34,17.34,17.36,17.36,19.64,19.64,22.4,22.4,24.48,54.34,59.65,59.65,90.47,144.27,227.49,231.27,231.27,235.01,235.01,255.85,255.85,263,265.85,265.85,268.55,268.55,268.71,268.71,268.71,268.71,268.71,270.81,270.81,270.81,271.18,272.58,272.58,273.88,27-03-24
