,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2019-01-18,2019-01-23,2019-01-28,2019-02-02,2019-02-07,2019-02-12,2019-02-17,2019-02-22,2019-02-27,2019-03-04,2019-03-09,2019-03-14,2019-03-19,2019-03-24,2019-03-29,2019-04-03,2019-04-08,2019-04-13,2019-04-18,2019-04-23,2019-04-28,2019-05-03,2019-05-08,2019-05-13,2019-05-18,2019-05-23,2019-05-28,2019-06-02,2019-06-07,2019-06-12,2019-06-17,2019-06-22,2019-06-27,2019-07-02,2019-07-07,2019-07-12,2019-07-17,2019-07-22,2019-07-27,flooding_date
25,5509967,16.25,16.29166667,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.16666666666663 16.083333333333428, -16.16666666666663 16.166666666666686, -16.08333333333337 16.166666666666686, -16.08333333333337 16.083333333333428, -16.16666666666663 16.083333333333428)))",2231.1600000000003,35.32,35.32,35.32,139.67,139.67,139.67,139.67,270.73,275.98,319.12,424.32,424.32,511.14,584.05,589.29,589.29,643.86,643.86,643.86,643.86,646.64,646.65,649.67,649.67,656.22,660.46,660.5,660.92,660.92,661.14,661.14,661.14,661.79,662.25,662.25,669.53,671.62,671.62,671.63,2027-07-19
26,5509966,16.25,16.29166667,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.666666666666629 16.41666666666663, -15.666666666666629 16.5, -15.583333333333371 16.5, -15.583333333333371 16.41666666666663, -15.666666666666629 16.41666666666663)))",2349.42,47.46,47.46,47.46,100.52,100.52,100.52,100.52,347.4,375.44,487.24,906.45,906.45,1115.15,1412.09,1503.98,1503.98,1722.42,1722.42,1722.42,1722.42,1818.52,1819.2,1826.08,1826.08,1839.22,1850.44,1850.65,1852.34,1852.34,1853.03,1853.03,1853.03,1854.6,1854.92,1854.92,1855.25,1855.49,1855.49,1855.51,2009-03-19
27,5509965,16.25,16.29166667,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.25 16.083333333333428, -16.25 16.166666666666686, -16.16666666666663 16.166666666666686, -16.16666666666663 16.083333333333428, -16.25 16.083333333333428)))",6238.320000000001,143.23,143.23,143.23,716.29,716.29,716.29,716.29,1004.9,1100.46,1182.86,1319.68,1319.68,1345.59,1397.63,1557.73,1557.73,1649.96,1649.96,1649.96,1649.96,1712.25,1728.31,1740.07,1740.07,1754.3,1761.29,1762.7,1763.82,1763.82,1765.83,1765.83,1765.83,1767.98,1768.15,1768.15,1768.58,1768.77,1768.77,1774.08,2002-02-19
28,5509970,16.25,16.29166667,-15.75,-15.875,152969,"MULTIPOLYGON (((-15.75 16.41666666666663, -15.75 16.5, -15.666666666666629 16.5, -15.666666666666629 16.41666666666663, -15.75 16.41666666666663)))",2464.9700000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-01-19
29,5509969,16.25,16.29166667,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-16.333333333333314 16.083333333333428, -16.333333333333314 16.166666666666686, -16.25 16.166666666666686, -16.25 16.083333333333428, -16.333333333333314 16.083333333333428)))",8611.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-01-19
30,5518609,16.25,16.45833333,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-15.833333333333314 16.41666666666663, -15.833333333333314 16.5, -15.75 16.5, -15.75 16.41666666666663, -15.833333333333314 16.41666666666663)))",2687.35,35.46,35.46,35.46,177.45,177.45,177.45,177.45,809.37,809.37,1008.01,1171.64,1171.64,1426.72,1628.6,1701.04,1701.04,1804.21,1804.21,1812.12,1812.12,1826.97,1830.15,1838.78,1838.78,1880.11,1892.72,1897.43,1900.83,1900.83,1902.38,1902.38,1902.38,1903.75,1904.6,1904.6,1906.04,1906.04,1906.04,1906.04,2022-02-19
31,5518613,16.25,16.45833333,-15.75,-15.625,152969,"MULTIPOLYGON (((-15.916666666666686 16.41666666666663, -15.916666666666686 16.5, -15.833333333333314 16.5, -15.833333333333314 16.41666666666663, -15.916666666666686 16.41666666666663)))",7730.150000000001,3.59,3.59,3.59,8.62,8.62,8.62,8.62,10.11,12.17,12.17,14.74,14.74,15.58,17.08,20.63,20.63,20.66,20.66,20.78,20.78,21.36,22.4,22.49,22.49,22.49,22.49,23.4,23.42,23.42,23.42,23.42,23.51,23.51,23.51,23.51,23.51,23.51,23.51,23.51,2002-02-19
32,5518612,16.25,16.45833333,-15.75,-15.70833333,152969,"MULTIPOLYGON (((-15.583333333333371 16.41666666666663, -15.583333333333371 16.5, -15.5 16.5, -15.5 16.41666666666663, -15.583333333333371 16.41666666666663)))",784.25,24.42,24.42,24.42,43.39,43.39,43.39,43.39,43.58,43.58,43.58,47.07,47.07,51.27,55.4,69.81,69.81,70.87,70.87,71.39,71.39,72.76,75.01,75.45,75.45,78.22,78.22,79.64,79.67,79.7,79.7,79.7,79.81,79.81,79.81,79.83,79.83,79.83,79.83,80.16,2027-07-19
33,5518611,16.25,16.45833333,-15.75,-15.79166667,152969,"MULTIPOLYGON (((-16.416666666666686 16, -16.416666666666686 16.083333333333428, -16.333333333333314 16.083333333333428, -16.333333333333314 16, -16.416666666666686 16)))",8566.460000000001,9.37,9.37,9.37,17.23,17.23,17.23,17.23,242.14,303.6,303.6,440.76,440.76,595.04,713.59,813.51,813.51,865.31,865.31,865.78,865.78,880.46,884.93,886.46,886.46,921.21,921.21,922.88,922.92,923.22,923.22,923.22,929.19,929.19,929.43,930.88,930.88,930.88,930.88,931.18,2027-07-19
34,5518610,16.25,16.45833333,-15.75,-15.875,152969,"MULTIPOLYGON (((-16.08333333333337 16.33333333333337, -16.08333333333337 16.41666666666663, -16 16.41666666666663, -16 16.33333333333337, -16.08333333333337 16.33333333333337)))",8602.560000000001,17.52,17.52,17.52,165.11,165.11,165.11,165.11,728.65,728.81,852.55,1070.61,1070.61,1444.48,2530.07,2947.87,2947.87,3420.26,3420.26,3521.29,3521.29,3542.9,3562.65,3565.2,3565.2,3650.55,3650.55,3669.41,3671.43,3671.71,3672.9,3672.9,3672.9,3677.49,3678.36,3678.36,3679.76,3679.76,3679.76,3679.76,2004-03-19
