,ID,LatNP,Latitude,LonNP,Longitude,nasapid,2022-01-17,2022-01-22,2022-02-01,2022-02-06,2022-02-11,2022-02-16,2022-02-21,2022-02-26,2022-03-03,2022-03-08,2022-03-13,2022-03-18,2022-03-23,2022-03-28,2022-04-02,2022-04-07,2022-04-12,2022-04-17,2022-04-22,2022-04-27,2022-05-02,2022-05-07,2022-05-12,2022-05-17,2022-05-22,2022-05-27,2022-06-01,2022-06-06,2022-06-11,2022-06-16,2022-06-21,2022-06-26,2022-07-01,2022-07-06,2022-07-11,2022-07-16,2022-07-21,flooding_date
0,5505644,16.25,16.2083333333,-16.25,-16.375,152968,717.62,723.98,726.62,736.02,751.38,751.38,751.38,782.31,783.57,784.92,812.60,812.60,923.64,923.64,930.50,930.74,935.09,935.09,940.15,940.15,970.01,977.80,984.14,984.14,984.25,984.25,984.42,984.42,985.02,985.02,985.53,985.53,990.38,990.38,990.88,990.88,999.19,2022-07-21
1,5505643,16.25,16.2083333333,-16.25,-16.4583333333,152968,217.32,247.34,248.61,248.61,248.64,248.64,248.64,248.64,248.64,248.64,248.64,248.64,249.05,249.05,250.48,250.48,250.48,250.48,250.48,250.48,250.64,250.75,250.84,250.84,251.32,251.32,251.32,251.32,251.32,251.32,251.38,251.38,253.51,253.51,282.47,282.47,461.65,2022-07-21
2,5505648,16.25,16.2083333333,-16.25,-16.0416666667,152968,0.49,130.08,130.08,130.08,130.08,130.08,130.08,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,163.94,2022-02-26
3,5505647,16.25,16.2083333333,-16.25,-16.125,152968,1.58,12.63,12.63,12.63,12.63,12.63,12.63,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.69,12.69,12.72,12.72,12.72,2022-07-11
4,5505646,16.25,16.2083333333,-16.25,-16.2083333333,152968,46.91,57.32,57.92,57.92,59.26,59.26,59.26,59.33,59.33,59.33,59.33,59.33,78.91,78.91,97.20,97.20,117.46,117.46,133.14,133.14,169.07,176.18,176.98,176.98,177.02,177.02,177.02,177.02,177.02,177.02,177.02,177.02,177.27,177.27,177.71,177.71,178.49,2022-04-02
5,5505645,16.25,16.2083333333,-16.25,-16.2916666667,152968,594.57,595.60,595.68,595.69,600.03,600.03,600.03,623.26,623.26,629.80,665.80,665.80,850.93,850.93,896.85,910.63,942.84,942.84,1020.41,1020.41,1136.15,1157.16,1161.86,1161.86,1161.88,1161.88,1161.93,1161.93,1161.94,1161.94,1161.95,1161.95,1162.06,1162.06,1162.88,1162.88,1163.40,2022-04-12
6,5518605,16.25,16.4583333333,-16.25,-16.2916666667,152968,11.24,11.24,13.48,13.48,13.68,13.68,13.68,245.63,245.63,272.73,304.88,304.88,372.79,372.79,376.72,376.72,377.88,377.88,378.59,378.59,382.45,387.56,388.86,389.12,389.12,389.12,389.14,389.14,389.21,389.21,389.21,389.21,389.25,389.25,389.25,389.25,389.25,2022-07-01
7,5501324,16.25,16.125,-16.25,-16.375,152968,117.41,133.59,134.79,135.32,142.39,142.39,142.39,142.39,150.99,150.99,168.26,168.26,204.43,204.43,206.68,209.45,209.45,209.45,214.21,214.21,230.58,233.84,234.32,234.32,234.35,234.35,234.35,234.35,234.35,234.35,234.35,234.35,234.35,235.18,248.44,248.44,269.19,2022-07-21
8,5501323,16.25,16.125,-16.25,-16.4583333333,152968,182.92,251.02,254.29,260.42,275.55,275.55,275.55,275.55,280.96,280.96,288.75,288.75,293.22,293.22,297.44,297.65,297.65,297.65,297.65,297.65,297.89,297.97,302.40,302.40,307.26,307.26,307.26,307.26,307.26,307.26,307.26,307.26,307.26,307.47,366.77,366.77,698.85,2022-07-21
9,5518608,16.25,16.4583333333,-16.25,-16.0416666667,152968,313.62,313.62,333.50,333.50,375.12,375.12,375.12,587.29,587.29,666.32,1035.38,1035.38,1989.39,1989.39,2113.24,2113.24,2139.67,2139.67,2147.25,2147.25,2166.87,2170.20,2173.63,2174.16,2174.16,2174.16,2176.02,2176.02,2176.61,2176.62,2176.62,2176.62,2177.87,2177.87,2177.87,2177.87,2177.87,2022-03-08
