,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2023-01-17,2023-01-22,2023-01-27,2023-02-01,2023-02-06,2023-02-11,2023-02-16,2023-02-21,2023-02-26,2023-03-03,2023-03-08,2023-03-13,2023-03-18,2023-03-23,2023-03-28,2023-04-02,2023-04-07,2023-04-12,2023-04-17,2023-04-22,2023-04-27,2023-05-02,2023-05-07,2023-05-12,2023-05-17,2023-05-22,2023-05-27,2023-06-01,2023-06-06,2023-06-11,2023-06-16,2023-06-21,2023-06-26,2023-07-01,flooding_date
10,5518607,16.25,16.45833333,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.333333333333314 16.5, -16.333333333333314 16.583333333333314, -16.25 16.583333333333314, -16.25 16.5, -16.333333333333314 16.5)))",865.67,49.99,72.1,72.1,90.14,194.04,194.04,194.04,403.04,403.04,627.2,1192.66,1192.66,1192.66,2045.41,2221.47,2909.97,2909.97,2909.97,3147.88,3147.88,3271.51,3271.51,3271.51,3281.43,3281.43,3287.4,3287.4,3287.4,3301.34,3301.34,3301.34,3301.47,3302.59,3302.59,01-02-23
11,5518606,16.25,16.45833333,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.916666666666686 16.5, -15.916666666666686 16.583333333333314, -15.833333333333314 16.583333333333314, -15.833333333333314 16.5, -15.916666666666686 16.5)))",948.7,8.64,12.49,12.49,12.75,49.58,49.58,49.58,66.23,66.24,264.55,519.53,519.53,519.53,798.22,828.93,834.83,834.83,834.83,841.72,841.72,859.09,859.09,859.09,866.78,866.78,871.08,871.08,871.08,884.53,884.53,884.53,884.53,884.57,884.57,26-06-23
12,5501327,16.25,16.125,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.16666666666663 16.5, -16.16666666666663 16.583333333333314, -16.08333333333337 16.583333333333314, -16.08333333333337 16.5, -16.16666666666663 16.5)))",4323.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-01-23
13,5501326,16.25,16.125,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.583333333333371 16.5, -15.583333333333371 16.583333333333314, -15.5 16.583333333333314, -15.5 16.5, -15.583333333333371 16.5)))",2145.3,21.96,27.66,28.76,28.76,28.97,28.97,28.97,28.97,28.97,30.59,30.59,30.59,30.59,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,23-03-23
14,5501325,16.25,16.125,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-15.666666666666629 16.5, -15.666666666666629 16.583333333333314, -15.583333333333371 16.583333333333314, -15.583333333333371 16.5, -15.666666666666629 16.5)))",1342.94,97.1,121.2,124.2,124.2,127.89,127.89,146.19,146.19,146.31,151.86,151.86,151.86,151.86,181.38,181.38,189.87,189.87,189.87,200.46,209.75,209.75,209.89,209.89,210.05,210.38,210.38,211.16,211.16,211.74,211.74,211.74,211.74,211.81,211.81,17-01-23
15,5497004,16.25,16.04166667,-16.25,-16.375,152968,"MULTIPOLYGON (((-16.333333333333314 16.41666666666663, -16.333333333333314 16.5, -16.25 16.5, -16.25 16.41666666666663, -16.333333333333314 16.41666666666663)))",5120.33,304.29,346.5,352.89,352.89,353.28,353.28,426.18,426.18,426.42,430.42,430.42,430.42,430.42,433.14,433.14,451.33,451.33,451.33,452.55,456.41,456.41,456.52,456.52,457.1,457.57,457.57,457.81,457.81,459.24,459.24,459.24,459.24,459.28,459.28,26-06-23
16,5514288,16.25,16.375,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-15.833333333333314 16.5, -15.833333333333314 16.583333333333314, -15.75 16.583333333333314, -15.75 16.5, -15.833333333333314 16.5)))",236.44,41.32,46.01,46.01,60.64,125.49,125.49,125.49,251.73,251.75,439.5,1047.82,1047.82,1047.82,1621.9,1753.09,2562.6,2562.6,2562.6,2983.1,2983.1,3185.46,3185.46,3185.46,3203.35,3203.35,3208.76,3208.76,3208.76,3226.77,3226.77,3226.77,3227.26,3228.63,3228.63,01-02-23
17,5497003,16.25,16.04166667,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16.416666666666686 16.083333333333428, -16.416666666666686 16.166666666666686, -16.333333333333314 16.166666666666686, -16.333333333333314 16.083333333333428, -16.416666666666686 16.083333333333428)))",8602.56,179.04,191.82,195.88,195.88,196.24,196.24,237.8,237.8,238.2,239.01,239.01,239.04,239.04,239.53,239.53,278.35,278.35,278.35,278.5,278.82,278.82,296.35,296.35,296.59,297.24,297.24,297.47,297.47,302.58,302.58,302.58,302.58,324.79,324.79,26-06-23
18,5514287,16.25,16.375,-16.25,-16.125,152968,"MULTIPOLYGON (((-16 16.41666666666663, -16 16.5, -15.916666666666686 16.5, -15.916666666666686 16.41666666666663, -16 16.41666666666663)))",7911.69,52.24,58.56,58.56,60.13,104.34,104.34,104.34,151.16,151.19,245.32,655.11,655.11,655.11,1102.45,1190.81,1235.08,1235.08,1235.08,1530.22,1530.22,1699.74,1699.74,1699.74,1717.78,1717.78,1724.23,1724.23,1724.23,1736.17,1736.17,1736.17,1736.3,1737.14,1737.14,08-03-23
19,5514286,16.25,16.375,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-16.5 16.083333333333428, -16.5 16.166666666666686, -16.416666666666686 16.166666666666686, -16.416666666666686 16.083333333333428, -16.5 16.083333333333428)))",3556.02,10.86,12.22,12.22,12.49,38.73,38.73,38.73,77.68,77.69,159.95,603.14,603.14,603.14,788.12,810.22,810.93,810.93,810.93,815.73,815.73,819.85,819.85,819.85,821.5,821.5,822.45,822.45,822.45,825.64,825.64,825.64,825.7,827.06,827.06,26-06-23
